PassengerId|Pclass|Name|Nickname|Sex|Age|SibSp|Parch|Ticket|Fare|Embarked|Level|Bridge|Cabin
1|3|Braund, Mr. Owen Harris|Braund|1|22|1|0|A/5 21171|7|2|F|F |F G73
2|1|Cumings, Mrs. John Bradley (Florence Briggs Thayer)|Cumings|0|38|1|0|PC 17599|71|0|C|C8|C85
3|3|Heikkinen, Miss. Laina|Heikkinen|0|26|0|0|STON/O2. 3101282|7|2|E|E1|E101
4|1|Futrelle, Mrs. Jacques Heath (Lily May Peel)|Futrelle|0|35|1|0|113803|53|2|C|C1|C123
5|3|Allen, Mr. William Henry|Allen|1|35|0|0|373450|8|2|B|B5|B51 B53 B55
6|3|Moran, Mr. James|Moran|1|29|0|0|330877|8|1|F|F3|F33
7|1|McCarthy, Mr. Timothy J|McCarthy|1|54|0|0|17463|51|2|E|E4|E46
8|3|Palsson, Master. Gosta Leonard|Palsson|1|2|3|1|349909|21|2|F|F2|F2
9|3|Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)|Johnson|0|27|0|2|347742|11|2|E|E1|E101
10|2|Nasser, Mrs. Nicholas (Adele Achem)|Nasser|0|14|1|0|237736|30|0|B|B4|B42
11|3|Sandstrom, Miss. Marguerite Rut|Sandstrom|0|4|1|1|PP 9549|16|2|G|G6|G6
12|1|Bonnell, Miss. Elizabeth|Bonnell|0|58|0|0|113783|26|2|C|C1|C103
13|3|Saundercock, Mr. William Henry|Saundercock|1|20|0|0|A/5. 2151|8|2|F|F |F G73
14|3|Andersson, Mr. Anders Johan|Andersson|1|39|1|5|347082|31|2|A|A3|A31
15|3|Vestrom, Miss. Hulda Amanda Adolfina|Vestrom|0|14|0|0|350406|7|2|D|D|D
16|2|Hewlett, Mrs. (Mary D Kingcome) |Hewlett|0|55|0|0|248706|16|2|C|C1|C103
17|3|Rice, Master. Eugene|Rice|1|2|4|1|382652|29|1|F|F2|F2
18|2|Williams, Mr. Charles Eugene|Williams|1|29|0|0|244373|13|2|E|E1|E101
19|3|Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)|Vander Planke|0|31|1|0|345763|18|2|D|D5|D56
20|3|Masselmani, Mrs. Fatima|Masselmani|0|29|0|0|2649|7|0|F|F3|F33
21|2|Fynney, Mr. Joseph J|Fynney|1|35|0|0|239865|26|2|E|E2|E25
22|2|Beesley, Mr. Lawrence|Beesley|1|34|0|0|248698|13|2|D|D5|D56
23|3|"McGowan, Miss. Anna ""Annie"""|McGowan|0|15|0|0|330923|8|1|D|D|D
24|1|Sloper, Mr. William Thompson|Sloper|1|28|0|0|113788|35|2|A|A6|A6
25|3|Palsson, Miss. Torborg Danira|Palsson|0|8|3|1|349909|21|2|F|F2|F2
26|3|Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)|Asplund|0|38|1|5|347077|31|2|A|A3|A31
27|3|Emir, Mr. Farred Chehab|Emir|1|29|0|0|2631|7|0|E|E1|E10
28|1|Fortune, Mr. Charles Alexander|Fortune|1|19|3|2|19950|263|2|C|C2|C23 C25 C27
29|3|"O'Dwyer, Miss. Ellen ""Nellie"""|O'Dwyer|0|29|0|0|330959|7|1|F|F3|F33
30|3|Todoroff, Mr. Lalio|Todoroff|1|29|0|0|349216|7|2|E|E1|E10
31|1|Uruchurtu, Don. Manuel E|Uruchurtu|1|40|0|0|PC 17601|27|0|A|A3|A31
32|1|Spencer, Mrs. William Augustus (Marie Eugenie)|Spencer|0|29|1|0|PC 17569|146|0|B|B7|B78
33|3|Glynn, Miss. Mary Agatha|Glynn|0|29|0|0|335677|7|1|F|F3|F33
34|2|Wheadon, Mr. Edward H|Wheadon|1|66|0|0|C.A. 24579|10|2|C|C8|C87
35|1|Meyer, Mr. Edgar Joseph|Meyer|1|28|1|0|PC 17604|82|0|B|B7|B77
36|1|Holverson, Mr. Alexander Oskar|Holverson|1|42|1|0|113789|52|2|C|C1|C110
37|3|Mamee, Mr. Hanna|Mamee|1|29|0|0|2677|7|0|E|E1|E10
38|3|Cann, Mr. Ernest Charles|Cann|1|21|0|0|A./5. 2152|8|2|F|F |F G73
39|3|Vander Planke, Miss. Augusta Maria|Vander Planke|0|18|2|0|345764|18|2|D|D|D
40|3|Nicola-Yarred, Miss. Jamila|Nicola-Yarred|0|14|1|0|2651|11|0|D|D|D
41|3|Ahlin, Mrs. Johan (Johanna Persdotter Larsson)|Ahlin|0|40|1|0|7546|9|2|D|D|D
42|2|Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)|Turpin|0|27|1|0|11668|21|2|A|A1|A19
43|3|Kraeff, Mr. Theodor|Kraeff|1|29|0|0|349253|7|0|E|E1|E10
44|2|Laroche, Miss. Simonne Marie Anne Andree|Laroche|0|3|1|2|SC/Paris 2123|41|0|F|F4|F4
45|3|Devaney, Miss. Margaret Delia|Devaney|0|19|0|0|330958|7|1|F|F |F G73
46|3|Rogers, Mr. William John|Rogers|1|29|0|0|S.C./A.4. 23567|8|2|F|F3|F33
47|3|Lennon, Mr. Denis|Lennon|1|29|1|0|370371|15|1|E|E1|E101
48|3|O'Driscoll, Miss. Bridget|O'Driscoll|0|29|0|0|14311|7|1|F|F3|F33
49|3|Samaan, Mr. Youssef|Samaan|1|29|2|0|2662|21|0|A|A1|A19
50|3|Arnold-Franchi, Mrs. Josef (Josefine Franchi)|Arnold-Franchi|0|18|1|0|349237|17|2|D|D|D
51|3|Panula, Master. Juha Niilo|Panula|1|7|4|1|3101295|39|2|F|F4|F4
52|3|Nosworthy, Mr. Richard Cater|Nosworthy|1|21|0|0|A/4. 39886|7|2|F|F |F G73
53|1|Harper, Mrs. Henry Sleeper (Myna Haxtun)|Harper|0|49|1|0|PC 17572|76|0|D|D3|D33
54|2|Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)|Faunthorpe|0|29|1|0|2926|26|2|A|A1|A19
55|1|Ostby, Mr. Engelhart Cornelius|Ostby|1|65|0|1|113509|61|0|B|B3|B30
56|1|Woolner, Mr. Hugh|Woolner|1|29|0|0|19947|35|2|C|C5|C52
57|2|Rugg, Miss. Emily|Rugg|0|21|0|0|C.A. 31026|10|2|D|D|D
58|3|Novel, Mr. Mansouer|Novel|1|28|0|0|2697|7|0|E|E1|E101
59|2|West, Miss. Constance Mirium|West|0|5|1|2|C.A. 34651|27|2|F|F2|F2
60|3|Goodwin, Master. William Frederick|Goodwin|1|11|5|2|CA 2144|46|2|D|D2|D28
61|3|Sirayanian, Mr. Orsen|Sirayanian|1|22|0|0|2669|7|0|F|F |F G73
62|1|Icard, Miss. Amelie|Icard|0|38|0|0|113572|80|2|B|B2|B28
63|1|Harris, Mr. Henry Birkhardt|Harris|1|45|1|0|36973|83|2|C|C8|C83
64|3|Skoog, Master. Harald|Skoog|1|4|3|2|347088|27|2|F|F2|F2
65|1|Stewart, Mr. Albert A|Stewart|1|29|0|0|PC 17605|27|0|A|A1|A19
66|3|Moubarek, Master. Gerios|Moubarek|1|29|1|1|2661|15|0|E|E1|E101
67|2|Nye, Mrs. (Elizabeth Ramell)|Nye|0|29|0|0|C.A. 29395|10|2|F|F3|F33
68|3|Crease, Mr. Ernest James|Crease|1|19|0|0|S.P. 3464|8|2|F|F |F G73
69|3|Andersson, Miss. Erna Alexandra|Andersson|0|17|4|2|3101281|7|2|F|F |F G73
70|3|Kink, Mr. Vincenz|Kink|1|26|2|0|315151|8|2|E|E1|E101
71|2|Jenkin, Mr. Stephen Curnow|Jenkin|1|32|0|0|C.A. 33111|10|2|F|F3|F33
72|3|Goodwin, Miss. Lillian Amy|Goodwin|0|16|5|2|CA 2144|46|2|B|B3|B39
73|2|Hood, Mr. Ambrose Jr|Hood|1|21|0|0|S.O.C. 14879|73|2|B|B3|B35
74|3|Chronopoulos, Mr. Apostolos|Chronopoulos|1|26|1|0|2680|14|0|D|D|D
75|3|Bing, Mr. Lee|Bing|1|32|0|0|1601|56|2|B|B2|B20
76|3|Moen, Mr. Sigurd Hansen|Moen|1|25|0|0|348123|7|2|F|F |F G73
77|3|Staneff, Mr. Ivan|Staneff|1|29|0|0|349208|7|2|E|E1|E10
78|3|Moutal, Mr. Rahamin Haim|Moutal|1|29|0|0|374746|8|2|F|F3|F33
79|2|Caldwell, Master. Alden Gates|Caldwell|1|0|0|2|248738|29|2|F|F2|F2
80|3|Dowdell, Miss. Elizabeth|Dowdell|0|30|0|0|364516|12|2|E|E1|E101
81|3|Waelens, Mr. Achille|Waelens|1|22|0|0|345767|9|2|F|F |F G73
82|3|Sheerlinck, Mr. Jan Baptist|Sheerlinck|1|29|0|0|345779|9|2|F|F3|F33
83|3|McDermott, Miss. Brigdet Delia|McDermott|0|29|0|0|330932|7|1|F|F3|F33
84|1|Carrau, Mr. Francisco M|Carrau|1|28|0|0|113059|47|2|A|A2|A24
85|2|Ilett, Miss. Bertha|Ilett|0|17|0|0|SO/C 14885|10|2|D|D|D
86|3|Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)|Backstrom|0|33|3|0|3101278|15|2|D|D|D
87|3|Ford, Mr. William Neal|Ford|1|16|1|3|W./C. 6608|34|2|B|B4|B42
88|3|Slocovski, Mr. Selman Francis|Slocovski|1|29|0|0|SOTON/OQ 392086|8|2|F|F3|F33
89|1|Fortune, Miss. Mabel Helen|Fortune|0|23|3|2|19950|263|2|C|C2|C23 C25 C27
90|3|Celotti, Mr. Francesco|Celotti|1|24|0|0|343275|8|2|F|F |F G73
91|3|Christmann, Mr. Emil|Christmann|1|29|0|0|343276|8|2|F|F3|F33
92|3|Andreasson, Mr. Paul Edvin|Andreasson|1|20|0|0|347466|7|2|F|F |F G73
93|1|Chaffee, Mr. Herbert Fuller|Chaffee|1|46|1|0|W.E.P. 5734|61|2|E|E3|E31
94|3|Dean, Mr. Bertram Frank|Dean|1|26|1|2|C.A. 2315|20|2|C|C5|C52
95|3|Coxon, Mr. Daniel|Coxon|1|59|0|0|364500|7|2|C|C1|C103
96|3|Shorney, Mr. Charles Joseph|Shorney|1|29|0|0|374910|8|2|F|F3|F33
97|1|Goldschmidt, Mr. George B|Goldschmidt|1|71|0|0|PC 17754|34|0|A|A5|A5
98|1|Greenfield, Mr. William Bertram|Greenfield|1|23|0|1|PC 17759|63|0|D|D1|D10 D12
99|2|Doling, Mrs. John T (Ada Julia Bone)|Doling|0|34|0|1|231919|23|2|E|E2|E24
100|2|Kantor, Mr. Sinai|Kantor|1|34|1|0|244367|26|2|E|E2|E25
101|3|Petranec, Miss. Matilda|Petranec|0|28|0|0|349245|7|2|E|E1|E101
102|3|"Petroff, Mr. Pastcho (""Pentcho"")"|Petroff|1|29|0|0|349215|7|2|E|E1|E10
103|1|White, Mr. Richard Frasar|White|1|21|0|1|35281|77|2|D|D2|D26
104|3|Johansson, Mr. Gustaf Joel|Johansson|1|33|0|0|7540|8|2|B|B5|B51 B53 B55
105|3|Gustafsson, Mr. Anders Vilhelm|Gustafsson|1|37|2|0|3101276|7|2|B|B5|B51 B53 B55
106|3|Mionoff, Mr. Stoytcho|Mionoff|1|28|0|0|349207|7|2|E|E1|E101
107|3|Salkjelsvik, Miss. Anna Kristine|Salkjelsvik|0|21|0|0|343120|7|2|F|F |F G73
108|3|Moss, Mr. Albert Johan|Moss|1|29|0|0|312991|7|2|E|E1|E10
109|3|Rekic, Mr. Tido|Rekic|1|38|0|0|349249|7|2|B|B5|B51 B53 B55
110|3|Moran, Miss. Bertha|Moran|0|29|1|0|371110|24|1|A|A1|A19
111|1|Porter, Mr. Walter Chamberlain|Porter|1|47|0|0|110465|52|2|C|C1|C110
112|3|Zabour, Miss. Hileni|Zabour|0|14|1|0|2665|14|0|D|D|D
113|3|Barton, Mr. David John|Barton|1|22|0|0|324669|8|2|F|F |F G73
114|3|Jussila, Miss. Katriina|Jussila|0|20|1|0|4136|9|2|F|F |F G73
115|3|Attalah, Miss. Malake|Attalah|0|17|0|0|2627|14|0|D|D|D
116|3|Pekoniemi, Mr. Edvard|Pekoniemi|1|21|0|0|STON/O 2. 3101294|7|2|F|F |F G73
117|3|Connors, Mr. Patrick|Connors|1|70|0|0|370369|7|1|C|C8|C87
118|2|Turpin, Mr. William John Robert|Turpin|1|29|1|0|11668|21|2|A|A1|A19
119|1|Baxter, Mr. Quigg Edmond|Baxter|1|24|0|1|PC 17558|247|0|B|B5|B58 B60
120|3|Andersson, Miss. Ellis Anna Maria|Andersson|0|2|4|2|347082|31|2|F|F2|F2
121|2|Hickman, Mr. Stanley George|Hickman|1|21|2|0|S.O.C. 14879|73|2|B|B3|B35
122|3|Moore, Mr. Leonard Charles|Moore|1|29|0|0|A4. 54510|8|2|F|F3|F33
123|2|Nasser, Mr. Nicholas|Nasser|1|32|1|0|237736|30|0|B|B5|B50
124|2|Webber, Miss. Susan|Webber|0|32|0|0|27267|13|2|E|E1|E101
125|1|White, Mr. Percival Wayland|White|1|54|0|1|35281|77|2|D|D2|D26
